	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2016-08-08	478.5	short	1	True	1.0		
1	2016-08-09	479.0	short	2	True	2.0	-0.5	-0.5
2	2016-08-10	480.5	short	3	True	3.0	-3.0	-3.5
3	2016-08-11	479.5	short	4	True	4.0	3.0	-0.5
4	2016-08-12	482.0	short	5	True	5.0	-10.0	-10.5
5	2016-08-15	475.25	short	5			33.75	23.25
6	2016-08-16	477.5	short	5			-11.25	12.0
7	2016-08-17	481.75	short	5			-21.25	-9.25
8	2016-08-18	483.0	short	5			-6.25	-15.5
9	2016-08-19	485.5	short	5			-12.5	-28.0
10	2016-08-22	481.0	short	5			22.5	-5.5
11	2016-08-23	473.5	short	5			37.5	32.0
12	2016-08-24	471.0	short	5			12.5	44.5
13	2016-08-25	470.0	short	5			5.0	49.5
14	2016-08-26	455.75	short	5			71.25	120.75
15	2016-08-29	444.75	short	5			55.0	175.75
16	2016-08-30	438.25	short	5			32.5	208.25
17	2016-08-31	434.25	short	5			20.0	228.25
18	2016-09-01	441.25	short	5			-35.0	193.25
19	2016-09-02	446.25	short	5			-25.0	168.25
20	2016-09-05		short	5			-0.0	168.25
21	2016-09-06	443.5	short	5			13.75	182.0
22	2016-09-07	446.5	short	5			-15.0	167.0
23	2016-09-08	452.75	short	5			-31.25	135.75
24	2016-09-09	451.0	short	5			8.75	144.5
25	2016-09-12	455.0	short	5			-20.0	124.5
26	2016-09-13	446.5	short	5			42.5	167.0
27	2016-09-14	449.75	short	5			-16.25	150.75
28	2016-09-15	448.25	short	5			7.5	158.25
29	2016-09-16	449.5	short	5			-6.25	152.0
30	2016-09-19	448.0	short	5			7.5	159.5
31	2016-09-20	449.5	short	5			-7.5	152.0
32	2016-09-21	451.25	short	5			-8.75	143.25
33	2016-09-22	450.0	short	5			6.25	149.5
34	2016-09-23	450.0	short	5			-0.0	149.5
35	2016-09-26	443.5	short	5			32.5	182.0
36	2016-09-27	448.5	short	5			-25.0	157.0
37	2016-09-28	449.75	short	5			-6.25	150.75
38	2016-09-29	446.25	short	5			17.5	168.25
39	2016-09-30	447.5	short	5			-6.25	162.0
40	2016-10-03	441.25	short	5			31.25	193.25
41	2016-10-04	441.0	short	5			1.25	194.5
42	2016-10-05	450.75	short	5			-48.75	145.75
43	2016-10-06	442.75	short	5			40.0	185.75
44	2016-10-07	440.5	short	5			11.25	197.0
45	2016-10-10	448.5	short	5			-40.0	157.0
46	2016-10-11	449.75	short	5			-6.25	150.75
47	2016-10-12	442.0	short	5			38.75	189.5
48	2016-10-13	460.25	short	5			-91.25	98.25
49	2016-10-14	463.5	short	5			-16.25	82.0
50	2016-10-17	467.0	short	5			-17.5	64.5
51	2016-10-18	465.5	short	5			7.5	72.0
52	2016-10-19	467.0	short	5			-7.5	64.5
53	2016-10-20	465.0	short	5			10.0	74.5
54	2016-10-21	462.5	short	5			12.5	87.0
55	2016-10-24	453.25	short	5			46.25	133.25
56	2016-10-25	455.75	short	5			-12.5	120.75
57	2016-10-26	460.5	short	5			-23.75	97.0
58	2016-10-27	462.5	short	5			-10.0	87.0
59	2016-10-28	457.75	short	5			23.75	110.75
60	2016-10-31	461.5	short	5			-18.75	92.0
61	2016-11-01	459.5	short	5			10.0	102.0
62	2016-11-02	462.0	short	5			-12.5	89.5
63	2016-11-03	458.5	short	5			17.5	107.0
64	2016-11-04	459.5	short	5			-5.0	102.0
65	2016-11-07	457.25	short	5			11.25	113.25
66	2016-11-08	463.25	short	4	True	1.0	-30.0	83.25
67	2016-11-09	455.75	short	3	True	2.0	30.0	113.25
68	2016-11-10	452.25	short	2	True	3.0	10.5	123.75
69	2016-11-11	452.25	short	1	True	4.0	-0.0	123.75
70	2016-11-14	441.5	short	0	True	5.0	10.75	134.5
71	2017-04-10	441.75	long	1	True	1.0		
72	2017-04-11	447.5	long	2	True	2.0	5.75	140.25
73	2017-04-12	446.25	long	3	True	3.0	-2.5	137.75
74	2017-04-13	442.75	long	4	True	4.0	-10.5	127.25
75	2017-04-14		long	4	True	5.0	0.0	127.25
76	2017-04-17	435.75	long	5			-28.0	99.25
77	2017-04-18	437.0	long	5			6.25	105.5
78	2017-04-19	434.5	long	5			-12.5	93.0
79	2017-04-20	421.75	long	5			-63.75	29.25
80	2017-04-21	421.0	long	5			-3.75	25.5
81	2017-04-24	419.25	long	5			-8.75	16.75
82	2017-04-25	427.0	long	5			38.75	55.5
83	2017-04-26	426.5	long	5			-2.5	53.0
84	2017-04-27	431.25	long	5			23.75	76.75
85	2017-04-28	432.25	long	5			5.0	81.75
86	2017-05-01	456.0	long	5			118.75	200.5
87	2017-05-02	454.0	long	5			-10.0	190.5
88	2017-05-03	454.0	long	5			0.0	190.5
89	2017-05-04	437.75	long	5			-81.25	109.25
90	2017-05-05	442.25	long	5			22.5	131.75
91	2017-05-08	433.5	long	5			-43.75	88.0
92	2017-05-09	429.5	long	5			-20.0	68.0
93	2017-05-10	431.75	long	5			11.25	79.25
94	2017-05-11	433.75	long	5			10.0	89.25
95	2017-05-12	432.75	long	5			-5.0	84.25
96	2017-05-15	423.25	long	5			-47.5	36.75
97	2017-05-16	424.25	long	5			5.0	41.75
98	2017-05-17	427.0	long	5			13.75	55.5
99	2017-05-18	425.75	long	5			-6.25	49.25
100	2017-05-19	435.25	long	5			47.5	96.75
101	2017-05-22	434.25	long	5			-5.0	91.75
102	2017-05-23	429.5	long	5			-23.75	68.0
103	2017-05-24	432.5	long	5			15.0	83.0
104	2017-05-25	430.75	long	5			-8.75	74.25
105	2017-05-26	438.25	long	5			37.5	111.75
106	2017-05-29		long	5			0.0	111.75
107	2017-05-30	429.5	long	5			-43.75	68.0
108	2017-05-31	429.25	long	5			-1.25	66.75
109	2017-06-01	429.0	long	5			-1.25	65.5
110	2017-06-02	429.5	long	5			2.5	68.0
111	2017-06-05	429.5	long	5			0.0	68.0
112	2017-06-06	435.75	long	5			31.25	99.25
113	2017-06-07	444.75	long	5			45.0	144.25
114	2017-06-08	449.25	long	4	True	1.0	22.5	166.75
115	2017-06-09	445.75	long	3	True	2.0	-14.0	152.75
116	2017-06-12	434.0	long	2	True	3.0	-35.25	117.5
117	2017-06-13	445.0	long	1	True	4.0	22.0	139.5
118	2017-06-14	443.0	long	0	True	5.0	-2.0	137.5
