	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2022-08-08	834.5	short	1	True	1.0		
1	2022-08-09	831.5	short	2	True	2.0	3.0	3.0
2	2022-08-10	845.75	short	3	True	3.0	-28.5	-25.5
3	2022-08-11	851.25	short	4	True	4.0	-16.5	-42.0
4	2022-08-12	845.5	short	5	True	5.0	23.0	-19.0
5	2022-08-15	842.75	short	5			13.75	-5.25
6	2022-08-16	828.0	short	5			73.75	68.5
7	2022-08-17	809.0	short	5			95.0	163.5
8	2022-08-18	783.25	short	5			128.75	292.25
9	2022-08-19	801.5	short	5			-91.25	201.0
10	2022-08-22	821.75	short	5			-101.25	99.75
11	2022-08-23	836.5	short	5			-73.75	26.0
12	2022-08-24	843.0	short	5			-32.5	-6.5
13	2022-08-25	819.0	short	5			120.0	113.5
14	2022-08-26	838.0	short	5			-95.0	18.5
15	2022-08-29	869.75	short	5			-158.75	-140.25
16	2022-08-30	853.5	short	5			81.25	-59.0
17	2022-08-31	865.0	short	5			-57.5	-116.5
18	2022-09-01	829.75	short	5			176.25	59.75
19	2022-09-02	845.25	short	5			-77.5	-17.75
20	2022-09-05		short	5			-0.0	-17.75
21	2022-09-06	847.0	short	5			-8.75	-26.5
22	2022-09-07	864.25	short	5			-86.25	-112.75
23	2022-09-08	854.75	short	5			47.5	-65.25
24	2022-09-09	886.25	short	5			-157.5	-222.75
25	2022-09-12	878.0	short	5			41.25	-181.5
26	2022-09-13	882.0	short	5			-20.0	-201.5
27	2022-09-14	891.25	short	5			-46.25	-247.75
28	2022-09-15	861.0	short	5			151.25	-96.5
29	2022-09-16	876.75	short	5			-78.75	-175.25
30	2022-09-19	853.0	short	5			118.75	-56.5
31	2022-09-20	903.75	short	5			-253.75	-310.25
32	2022-09-21	907.25	short	5			-17.5	-327.75
33	2022-09-22	911.0	short	5			-18.75	-346.5
34	2022-09-23	886.5	short	5			122.5	-224.0
35	2022-09-26	863.5	short	5			115.0	-109.0
36	2022-09-27	872.75	short	5			-46.25	-155.25
37	2022-09-28	898.25	short	5			-127.5	-282.75
38	2022-09-29	894.5	short	5			18.75	-264.0
39	2022-09-30	905.0	short	5			-52.5	-316.5
40	2022-10-03	904.5	short	5			2.5	-314.0
41	2022-10-04	899.75	short	5			23.75	-290.25
42	2022-10-05	906.0	short	5			-31.25	-321.5
43	2022-10-06	890.0	short	5			80.0	-241.5
44	2022-10-07	895.25	short	5			-26.25	-267.75
45	2022-10-10	933.75	short	5			-192.5	-460.25
46	2022-10-11	907.0	short	5			133.75	-326.5
47	2022-10-12	897.5	short	5			47.5	-279.0
48	2022-10-13	903.5	short	5			-30.0	-309.0
49	2022-10-14	881.0	short	5			112.5	-196.5
50	2022-10-17	883.5	short	5			-12.5	-209.0
51	2022-10-18	875.75	short	5			38.75	-170.25
52	2022-10-19	867.25	short	5			42.5	-127.75
53	2022-10-20	880.25	short	5			-65.0	-192.75
54	2022-10-21	881.25	short	5			-5.0	-197.75
55	2022-10-24	871.0	short	5			51.25	-146.5
56	2022-10-25	870.5	short	5			2.5	-144.0
57	2022-10-26	874.25	short	5			-18.75	-162.75
58	2022-10-27	874.0	short	5			1.25	-161.5
59	2022-10-28	867.75	short	5			31.25	-130.25
60	2022-10-31	906.5	short	5			-193.75	-324.0
61	2022-11-01	921.5	short	5			-75.0	-399.0
62	2022-11-02	879.25	short	5			211.25	-187.75
63	2022-11-03	876.25	short	5			15.0	-172.75
64	2022-11-04	886.5	short	5			-51.25	-224.0
65	2022-11-07	885.5	short	5			5.0	-219.0
66	2022-11-08	869.5	short	4	True	1.0	80.0	-139.0
67	2022-11-09	852.5	short	3	True	2.0	68.0	-71.0
68	2022-11-10	851.0	short	2	True	3.0	4.5	-66.5
69	2022-11-11	860.25	short	1	True	4.0	-18.5	-85.0
70	2022-11-14	861.25	short	0	True	5.0	-1.0	-86.0
71	2023-06-08	639.0	long	1	True	1.0		
72	2023-06-09	641.75	long	2	True	2.0	2.75	-83.25
73	2023-06-12	646.0	long	3	True	3.0	8.5	-74.75
74	2023-06-13	648.0	long	4	True	4.0	6.0	-68.75
75	2023-06-14	641.25	long	5	True	5.0	-27.0	-95.75
76	2023-06-15	672.75	long	5			157.5	61.75
77	2023-06-16	701.5	long	5			143.75	205.5
78	2023-06-19		long	5			0.0	205.5
79	2023-06-20	708.75	long	5			36.25	241.75
80	2023-06-21	748.25	long	5			197.5	439.25
81	2023-06-22	752.75	long	5			22.5	461.75
82	2023-06-23	746.5	long	5			-31.25	430.5
83	2023-06-26	738.25	long	5			-41.25	389.25
84	2023-06-27	699.0	long	5			-196.25	193.0
85	2023-06-28	669.75	long	5			-146.25	46.75
86	2023-06-29	667.5	long	5			-11.25	35.5
87	2023-06-30	651.0	long	5			-82.5	-47.0
88	2023-07-03	641.75	long	5			-46.25	-93.25
89	2023-07-04		long	5			0.0	-93.25
90	2023-07-05	674.25	long	5			162.5	69.25
91	2023-07-06	658.0	long	5			-81.25	-12.0
92	2023-07-07	649.5	long	5			-42.5	-54.5
93	2023-07-10	646.25	long	5			-16.25	-70.75
94	2023-07-11	660.5	long	5			71.25	0.5
95	2023-07-12	632.75	long	5			-138.75	-138.25
96	2023-07-13	639.75	long	5			35.0	-103.25
97	2023-07-14	661.5	long	5			108.75	5.5
