	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2021-09-08	205.9	short	1	True	1.0		
1	2021-09-09	203.3	short	2	True	2.0	2.5999999999999943	2.5999999999999943
2	2021-09-10	207.4	short	3	True	3.0	-8.199999999999989	-5.599999999999994
3	2021-09-13	207.96	short	4	True	4.0	-1.6800000000000068	-7.280000000000001
4	2021-09-14	207.97	short	5	True	5.0	-0.03999999999996362	-7.319999999999965
5	2021-09-15	209.79	short	5			-9.099999999999966	-16.41999999999993
6	2021-09-16	209.12	short	5			3.3499999999999375	-13.069999999999993
7	2021-09-17	207.48	short	5			8.200000000000074	-4.869999999999919
8	2021-09-20	202.83	short	5			23.249999999999886	18.379999999999967
9	2021-09-21	204.13	short	5			-6.499999999999915	11.880000000000052
10	2021-09-22	206.81	short	5			-13.400000000000034	-1.5199999999999818
11	2021-09-23	209.09	short	5			-11.400000000000006	-12.919999999999987
12	2021-09-24	209.9	short	5			-4.050000000000011	-16.97
13	2021-09-27	213.65	short	5			-18.75	-35.72
14	2021-09-28	212.91	short	5			3.7000000000000455	-32.01999999999995
15	2021-09-29	214.37	short	5			-7.30000000000004	-39.31999999999999
16	2021-09-30	215.56	short	5			-5.949999999999989	-45.26999999999998
17	2021-10-01	220.17	short	5			-23.049999999999926	-68.31999999999991
18	2021-10-04	225.0	short	5			-24.150000000000063	-92.46999999999997
19	2021-10-05	228.79	short	5			-18.94999999999996	-111.41999999999993
20	2021-10-06	224.75	short	5			20.19999999999996	-91.21999999999997
21	2021-10-07	226.55	short	5			-9.000000000000057	-100.22000000000003
22	2021-10-08	227.33	short	4	True	1.0	-3.9000000000000057	-104.12000000000003
23	2021-10-11	229.38	short	3	True	2.0	-8.199999999999932	-112.31999999999996
24	2021-10-12	229.57	short	2	True	3.0	-0.5699999999999932	-112.88999999999996
25	2021-10-13	230.64	short	1	True	4.0	-2.1399999999999864	-115.02999999999994
26	2021-10-14	232.04	short	0	True	5.0	-1.4000000000000057	-116.42999999999995
27	2022-07-08	328.24	long	1	True	1.0		
28	2022-07-11	331.03	long	2	True	2.0	2.7899999999999636	-113.63999999999999
29	2022-07-12	311.85	long	3	True	3.0	-38.3599999999999	-151.9999999999999
30	2022-07-13	308.06	long	4	True	4.0	-11.370000000000061	-163.36999999999995
31	2022-07-14	301.72	long	5	True	5.0	-25.3599999999999	-188.72999999999985
32	2022-07-15	305.41	long	5			18.44999999999999	-170.27999999999986
33	2022-07-18	312.04	long	5			33.14999999999998	-137.12999999999988
34	2022-07-19	316.89	long	5			24.24999999999983	-112.88000000000005
35	2022-07-20	313.56	long	5			-16.64999999999992	-129.52999999999997
36	2022-07-21	299.79	long	5			-68.84999999999991	-198.37999999999988
37	2022-07-22	302.68	long	5			14.449999999999932	-183.92999999999995
38	2022-07-25	311.63	long	5			44.74999999999994	-139.18
39	2022-07-26	308.18	long	5			-17.249999999999943	-156.42999999999995
40	2022-07-27	315.36	long	5			35.900000000000034	-120.52999999999992
41	2022-07-28	310.18	long	5			-25.900000000000034	-146.42999999999995
42	2022-07-29	311.32	long	5			5.699999999999932	-140.73000000000002
43	2022-08-01	299.81	long	5			-57.549999999999955	-198.27999999999997
44	2022-08-02	305.67	long	5			29.300000000000068	-168.9799999999999
45	2022-08-03	291.22	long	5			-72.24999999999994	-241.22999999999985
46	2022-08-04	279.35	long	5			-59.35000000000002	-300.57999999999987
47	2022-08-05	285.56	long	5			31.049999999999898	-269.53
48	2022-08-08	288.62	long	4	True	1.0	15.300000000000011	-254.22999999999996
49	2022-08-09	296.02	long	3	True	2.0	29.59999999999991	-224.63000000000005
50	2022-08-10	307.03	long	2	True	3.0	33.02999999999997	-191.60000000000008
51	2022-08-11	307.15	long	1	True	4.0	0.2400000000000091	-191.36000000000007
52	2022-08-12	304.6	long	0	True	5.0	-2.5499999999999545	-193.91000000000003
