	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2008-04-08	273.89	short	1	True	1.0		
1	2008-04-09	276.92	short	2	True	2.0	-3.0300000000000296	-3.0300000000000296
2	2008-04-10	277.76	short	3	True	3.0	-1.67999999999995	-4.7099999999999795
3	2008-04-11	278.63	short	4	True	4.0	-2.6100000000000136	-7.319999999999993
4	2008-04-14	280.03	short	5	True	5.0	-5.599999999999909	-12.919999999999902
5	2008-04-15	285.55	short	5			-27.600000000000193	-40.520000000000095
6	2008-04-16	289.5	short	5			-19.749999999999943	-60.27000000000004
7	2008-04-17	290.18	short	5			-3.400000000000034	-63.67000000000007
8	2008-04-18	293.53	short	5			-16.74999999999983	-80.4199999999999
9	2008-04-21	293.35	short	5			0.8999999999997499	-79.52000000000015
10	2008-04-22	296.96	short	5			-18.049999999999784	-97.56999999999994
11	2008-04-23	298.89	short	5			-9.650000000000034	-107.21999999999997
12	2008-04-24	293.63	short	5			26.299999999999955	-80.92000000000002
13	2008-04-25	297.92	short	5			-21.450000000000102	-102.37000000000012
14	2008-04-28	296.62	short	5			6.500000000000057	-95.87000000000006
15	2008-04-29	290.22	short	5			31.999999999999886	-63.870000000000175
16	2008-04-30	286.48	short	5			18.700000000000045	-45.17000000000013
17	2008-05-01	285.27	short	5			6.050000000000182	-39.11999999999995
18	2008-05-02	294.04	short	5			-43.85000000000019	-82.97000000000014
19	2008-05-05	302.74	short	5			-43.49999999999994	-126.47000000000008
20	2008-05-06	307.25	short	5			-22.549999999999955	-149.02000000000004
21	2008-05-07	311.32	short	5			-20.349999999999966	-169.37
22	2008-05-08	313.63	short	4	True	1.0	-11.550000000000011	-180.92000000000002
23	2008-05-09	319.92	short	3	True	2.0	-25.160000000000082	-206.0800000000001
24	2008-05-12	315.77	short	2	True	3.0	12.450000000000102	-193.63
25	2008-05-13	319.25	short	1	True	4.0	-6.960000000000036	-200.59000000000003
26	2008-05-14	317.84	short	0	True	5.0	1.410000000000025	-199.18
27	2009-03-09	134.9	long	1	True	1.0		
28	2009-03-10	131.38	long	2	True	2.0	-3.5200000000000102	-202.70000000000002
29	2009-03-11	126.58	long	3	True	3.0	-9.599999999999994	-212.3
30	2009-03-12	135.88	long	4	True	4.0	27.89999999999999	-184.40000000000003
31	2009-03-13	136.17	long	5	True	5.0	1.1599999999999682	-183.24000000000007
32	2009-03-16	137.8	long	5			8.15000000000012	-175.08999999999995
33	2009-03-17	143.62	long	5			29.099999999999966	-145.98999999999998
34	2009-03-18	138.4	long	5			-26.099999999999994	-172.08999999999997
35	2009-03-19	145.63	long	5			36.14999999999995	-135.94000000000003
36	2009-03-20	147.33	long	5			8.500000000000085	-127.43999999999994
37	2009-03-23	150.92	long	5			17.949999999999875	-109.49000000000007
38	2009-03-24	152.04	long	5			5.600000000000023	-103.89000000000004
39	2009-03-25	151.13	long	5			-4.549999999999983	-108.44000000000003
40	2009-03-26	154.7	long	5			17.849999999999966	-90.59000000000006
41	2009-03-27	150.27	long	5			-22.149999999999892	-112.73999999999995
42	2009-03-30	139.38	long	5			-54.450000000000074	-167.19000000000003
43	2009-03-31	142.13	long	5			13.75	-153.44000000000003
44	2009-04-01	137.17	long	5			-24.80000000000004	-178.24000000000007
45	2009-04-02	146.98	long	5			49.05000000000001	-129.19000000000005
46	2009-04-03	149.24	long	5			11.300000000000097	-117.88999999999996
47	2009-04-06	147.55	long	5			-8.449999999999989	-126.33999999999995
48	2009-04-07	146.04	long	5			-7.550000000000097	-133.89000000000004
49	2009-04-08	143.96	long	4	True	1.0	-10.39999999999992	-144.28999999999996
50	2009-04-09	148.1	long	3	True	2.0	16.559999999999945	-127.73000000000002
51	2009-04-10		long	3	True	3.0	0.0	-127.73000000000002
52	2009-04-13	146.32	long	1	True	4.0	-5.340000000000003	-133.07000000000002
53	2009-04-14	145.76	long	0	True	5.0	-0.5600000000000023	-133.63000000000002
