	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2006-06-08		short	0	True	1.0		
1	2006-06-09		short	0	True	2.0		
2	2006-06-12		short	0	True	3.0		
3	2006-06-13		short	0	True	4.0		
4	2006-06-14		short	0	True	5.0		
5	2006-06-15		short	5				
6	2006-06-16		short	5				
7	2006-06-19		short	5				
8	2006-06-20		short	5				
9	2006-06-21		short	5				
10	2006-06-22		short	5				
11	2006-06-23		short	5				
12	2006-06-26		short	5				
13	2006-06-27		short	5				
14	2006-06-28		short	5				
15	2006-06-29		short	5				
16	2006-06-30		short	5				
17	2006-07-03		short	5				
18	2006-07-04		short	5				
19	2006-07-05	232.13	short	5				
20	2006-07-06	233.5	short	5			-6.850000000000023	-6.850000000000023
21	2006-07-07	232.31	short	5			5.949999999999989	-0.9000000000000341
22	2006-07-10	227.74	short	4	True	1.0	22.849999999999966	21.949999999999932
23	2006-07-11	228.15	short	3	True	2.0	-1.6399999999999864	20.309999999999945
24	2006-07-12	232.09	short	2	True	3.0	-11.819999999999993	8.489999999999952
25	2006-07-13	235.32	short	1	True	4.0	-6.4599999999999795	2.0299999999999727
26	2006-07-14	238.43	short	0	True	5.0	-3.1100000000000136	-1.080000000000041
27	2007-05-08	214.95	long	1	True	1.0		
28	2007-05-09	216.64	long	2	True	2.0	1.6899999999999977	0.6099999999999568
29	2007-05-10	223.41	long	3	True	3.0	13.54000000000002	14.149999999999977
30	2007-05-11	225.96	long	4	True	4.0	7.650000000000034	21.80000000000001
31	2007-05-14	223.87	long	5	True	5.0	-8.360000000000014	13.439999999999998
32	2007-05-15	224.11	long	5			1.2000000000000455	14.640000000000043
33	2007-05-16	226.35	long	5			11.199999999999903	25.839999999999947
34	2007-05-17	233.56	long	5			36.05000000000004	61.889999999999986
35	2007-05-18	231.12	long	5			-12.199999999999989	49.69
36	2007-05-21	230.73	long	5			-1.950000000000074	47.739999999999924
37	2007-05-22	223.53	long	5			-35.99999999999994	11.73999999999998
38	2007-05-23	222.74	long	5			-3.94999999999996	7.7900000000000205
39	2007-05-24	226.69	long	5			19.749999999999943	27.539999999999964
40	2007-05-25	231.05	long	5			21.800000000000068	49.34000000000003
41	2007-05-28		long	5			0.0	49.34000000000003
42	2007-05-29	219.34	long	5			-58.55000000000004	-9.210000000000008
43	2007-05-30	219.9	long	5			2.8000000000000114	-6.409999999999997
44	2007-05-31	220.32	long	5			2.0999999999999375	-4.310000000000059
45	2007-06-01	224.46	long	5			20.700000000000074	16.390000000000015
46	2007-06-04	223.8	long	5			-3.299999999999983	13.090000000000032
47	2007-06-05	220.73	long	5			-15.350000000000108	-2.260000000000076
48	2007-06-06	219.04	long	5			-8.449999999999989	-10.710000000000065
49	2007-06-07	219.27	long	5			1.150000000000091	-9.559999999999974
50	2007-06-08	212.71	long	4	True	1.0	-32.80000000000001	-42.359999999999985
51	2007-06-11	215.13	long	3	True	2.0	9.67999999999995	-32.680000000000035
52	2007-06-12	213.5	long	2	True	3.0	-4.889999999999986	-37.57000000000002
53	2007-06-13	215.53	long	1	True	4.0	4.060000000000002	-33.51000000000002
54	2007-06-14	222.47	long	0	True	5.0	6.939999999999998	-26.57000000000002
