	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2005-12-08		short	0	True	1.0		
1	2005-12-09		short	0	True	2.0		
2	2005-12-12		short	0	True	3.0		
3	2005-12-13		short	0	True	4.0		
4	2005-12-14		short	0	True	5.0		
5	2005-12-15		short	5				
6	2005-12-16		short	5				
7	2005-12-19		short	5				
8	2005-12-20		short	5				
9	2005-12-21		short	5				
10	2005-12-22		short	5				
11	2005-12-23		short	5				
12	2005-12-26		short	5				
13	2005-12-27		short	5				
14	2005-12-28		short	5				
15	2005-12-29		short	5				
16	2005-12-30		short	5				
17	2006-01-02		short	5				
18	2006-01-03		short	5				
19	2006-01-04		short	5				
20	2006-01-05		short	5				
21	2006-01-06		short	5				
22	2006-01-09		short	5	True	1.0		
23	2006-01-10		short	5	True	2.0		
24	2006-01-11		short	5	True	3.0		
25	2006-01-12		short	5	True	4.0		
26	2006-01-13		short	5	True	5.0		
27	2006-12-08	164.59	long	1	True	1.0		
28	2006-12-11	162.65	long	2	True	2.0	-1.9399999999999977	-1.9399999999999977
29	2006-12-12	162.9	long	3	True	3.0	0.5	-1.4399999999999977
30	2006-12-13	164.85	long	4	True	4.0	5.849999999999966	4.409999999999968
31	2006-12-14	168.81	long	5	True	5.0	15.840000000000032	20.25
32	2006-12-15	171.34	long	5			12.650000000000006	32.900000000000006
33	2006-12-18	167.97	long	5			-16.850000000000023	16.049999999999983
34	2006-12-19	170.71	long	5			13.700000000000045	29.75000000000003
35	2006-12-20	169.7	long	5			-5.050000000000097	24.699999999999932
36	2006-12-21	165.79	long	5			-19.549999999999983	5.149999999999949
37	2006-12-22	164.84	long	5			-4.749999999999943	0.4000000000000057
38	2006-12-25		long	5			0.0	0.4000000000000057
39	2006-12-26	158.97	long	5			-29.350000000000023	-28.950000000000017
40	2006-12-27	159.41	long	5			2.1999999999999886	-26.75000000000003
41	2006-12-28	159.83	long	5			2.1000000000000796	-24.64999999999995
42	2006-12-29	161.63	long	5			8.999999999999915	-15.650000000000034
43	2007-01-01		long	5			0.0	-15.650000000000034
44	2007-01-02		long	5			0.0	-15.650000000000034
45	2007-01-03	154.89	long	5			-33.700000000000045	-49.35000000000008
46	2007-01-04	148.7	long	5			-30.94999999999999	-80.30000000000007
47	2007-01-05	149.31	long	5			3.050000000000068	-77.25
48	2007-01-08	146.85	long	4	True	1.0	-12.30000000000004	-89.55000000000004
49	2007-01-09	146.96	long	3	True	2.0	0.44000000000005457	-89.10999999999999
50	2007-01-10	142.92	long	2	True	3.0	-12.120000000000061	-101.23000000000005
51	2007-01-11	139.05	long	1	True	4.0	-7.739999999999952	-108.97
52	2007-01-12	143.2	long	0	True	5.0	4.149999999999977	-104.82000000000002
