	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2007-05-08	181.5	short	1	True	1.0		
1	2007-05-09	182.34	short	2	True	2.0	-0.8400000000000034	-0.8400000000000034
2	2007-05-10	184.71	short	3	True	3.0	-4.740000000000009	-5.5800000000000125
3	2007-05-11	186.61	short	4	True	4.0	-5.700000000000017	-11.28000000000003
4	2007-05-14	185.72	short	5	True	5.0	3.560000000000059	-7.71999999999997
5	2007-05-15	186.71	short	5			-4.9500000000000455	-12.670000000000016
6	2007-05-16	186.7	short	5			0.050000000000096634	-12.61999999999992
7	2007-05-17	192.06	short	5			-26.800000000000068	-39.41999999999999
8	2007-05-18	190.42	short	5			8.200000000000074	-31.219999999999914
9	2007-05-21	191.18	short	5			-3.8000000000000966	-35.02000000000001
10	2007-05-22	187.18	short	5			20.0	-15.02000000000001
11	2007-05-23	188.29	short	5			-5.549999999999926	-20.569999999999936
12	2007-05-24	189.39	short	5			-5.499999999999972	-26.069999999999908
13	2007-05-25	192.3	short	5			-14.550000000000125	-40.62000000000003
14	2007-05-28		short	5			-0.0	-40.62000000000003
15	2007-05-29	183.74	short	5			42.80000000000001	2.1799999999999784
16	2007-05-30	185.7	short	5			-9.799999999999898	-7.619999999999919
17	2007-05-31	186.37	short	5			-3.3500000000000796	-10.969999999999999
18	2007-06-01	189.71	short	5			-16.700000000000017	-27.670000000000016
19	2007-06-04	191.6	short	5			-9.449999999999932	-37.11999999999995
20	2007-06-05	189.71	short	5			9.449999999999932	-27.670000000000016
21	2007-06-06	190.59	short	5			-4.399999999999977	-32.06999999999999
22	2007-06-07	192.02	short	5			-7.150000000000034	-39.22000000000003
23	2007-06-08	188.06	short	4	True	1.0	19.80000000000004	-19.419999999999987
24	2007-06-11	190.11	short	3	True	2.0	-8.200000000000045	-27.620000000000033
25	2007-06-12	188.87	short	2	True	3.0	3.7200000000000273	-23.900000000000006
26	2007-06-13	191.33	short	1	True	4.0	-4.920000000000016	-28.82000000000002
27	2007-06-14	194.02	short	0	True	5.0	-2.6899999999999977	-31.51000000000002
28	2007-11-08	243.16	long	1	True	1.0		
29	2007-11-09	244.7	long	2	True	2.0	1.539999999999992	-29.970000000000027
30	2007-11-12	240.55	long	3	True	3.0	-8.299999999999955	-38.26999999999998
31	2007-11-13	231.42	long	4	True	4.0	-27.39000000000007	-65.66000000000005
32	2007-11-14	237.11	long	5	True	5.0	22.760000000000105	-42.89999999999995
33	2007-11-15	233.37	long	5			-18.700000000000045	-61.599999999999994
34	2007-11-16	236.94	long	5			17.849999999999966	-43.75000000000003
35	2007-11-19	237.79	long	5			4.249999999999972	-39.50000000000006
36	2007-11-20	245.0	long	5			36.05000000000004	-3.450000000000017
37	2007-11-21	243.53	long	5			-7.349999999999994	-10.800000000000011
38	2007-11-22		long	5			0.0	-10.800000000000011
39	2007-11-23	246.5	long	5			14.849999999999994	4.049999999999983
40	2007-11-26	244.09	long	5			-12.049999999999983	-8.0
41	2007-11-27	237.15	long	5			-34.69999999999999	-42.69999999999999
42	2007-11-28	227.24	long	5			-49.54999999999998	-92.24999999999997
43	2007-11-29	226.57	long	5			-3.3500000000000796	-95.60000000000005
44	2007-11-30	223.06	long	5			-17.549999999999955	-113.15
45	2007-12-03	225.01	long	5			9.749999999999943	-103.40000000000006
46	2007-12-04	225.17	long	5			0.799999999999983	-102.60000000000008
47	2007-12-05	221.7	long	5			-17.349999999999994	-119.95000000000007
48	2007-12-06	230.13	long	5			42.150000000000034	-77.80000000000004
49	2007-12-07	226.9	long	5			-16.14999999999995	-93.94999999999999
50	2007-12-10	225.01	long	4	True	1.0	-9.450000000000074	-103.40000000000006
51	2007-12-11	229.14	long	3	True	2.0	16.519999999999982	-86.88000000000008
52	2007-12-12	241.28	long	2	True	3.0	36.420000000000044	-50.460000000000036
53	2007-12-13	237.44	long	1	True	4.0	-7.680000000000007	-58.14000000000004
54	2007-12-14	234.17	long	0	True	5.0	-3.2700000000000102	-61.41000000000005
