	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2017-03-08	147.82	short	1	True	1.0		
1	2017-03-09	144.89	short	2	True	2.0	2.930000000000007	2.930000000000007
2	2017-03-10	142.68	short	3	True	3.0	4.419999999999959	7.349999999999966
3	2017-03-13	141.98	short	4	True	4.0	2.100000000000051	9.450000000000017
4	2017-03-14	141.2	short	5	True	5.0	3.1200000000000045	12.570000000000022
5	2017-03-15	142.24	short	5			-5.200000000000102	7.369999999999919
6	2017-03-16	142.64	short	5			-1.9999999999998863	5.370000000000033
7	2017-03-17	142.67	short	5			-0.15000000000000568	5.220000000000027
8	2017-03-20	143.08	short	5			-2.050000000000125	3.1699999999999022
9	2017-03-21	142.25	short	5			4.1500000000000625	7.319999999999965
10	2017-03-22	142.08	short	5			0.8499999999999375	8.169999999999902
11	2017-03-23	141.44	short	5			3.200000000000074	11.369999999999976
12	2017-03-24	142.23	short	5			-3.94999999999996	7.420000000000016
13	2017-03-27	142.73	short	5			-2.5	4.920000000000016
14	2017-03-28	143.33	short	5			-3.0000000000001137	1.9199999999999022
15	2017-03-29	145.93	short	5			-12.999999999999972	-11.08000000000007
16	2017-03-30	147.05	short	5			-5.600000000000023	-16.680000000000092
17	2017-03-31	148.73	short	5			-8.399999999999892	-25.079999999999984
18	2017-04-03	148.35	short	5			1.8999999999999773	-23.180000000000007
19	2017-04-04	150.98	short	5			-13.149999999999977	-36.329999999999984
20	2017-04-05	151.35	short	5			-1.8500000000000227	-38.18000000000001
21	2017-04-06	152.33	short	5			-4.900000000000091	-43.0800000000001
22	2017-04-07	153.77	short	5			-7.199999999999989	-50.280000000000086
23	2017-04-10	155.45	short	4	True	1.0	-8.399999999999892	-58.67999999999998
24	2017-04-11	156.35	short	3	True	2.0	-3.6000000000000227	-62.28
25	2017-04-12	155.97	short	2	True	3.0	1.1399999999999864	-61.140000000000015
26	2017-04-13	156.17	short	1	True	4.0	-0.39999999999997726	-61.53999999999999
27	2017-04-14		short	1	True	5.0	-0.0	-61.53999999999999
28	2017-09-08	158.05	long	1	True	1.0		
29	2017-09-11	158.1	long	2	True	2.0	0.04999999999998295	-61.49000000000001
30	2017-09-12	160.03	long	3	True	3.0	3.8600000000000136	-57.629999999999995
31	2017-09-13	160.03	long	4	True	4.0	0.0	-57.629999999999995
32	2017-09-14	159.67	long	5	True	5.0	-1.4400000000000546	-59.07000000000005
33	2017-09-15	162.14	long	5			12.349999999999994	-46.720000000000056
34	2017-09-18	161.66	long	5			-2.399999999999949	-49.120000000000005
35	2017-09-19	160.59	long	5			-5.349999999999966	-54.46999999999997
36	2017-09-20	161.58	long	5			4.9500000000000455	-49.519999999999925
37	2017-09-21	160.66	long	5			-4.60000000000008	-54.120000000000005
38	2017-09-22	162.61	long	5			9.750000000000085	-44.36999999999992
39	2017-09-25	166.74	long	5			20.649999999999977	-23.719999999999942
40	2017-09-26	164.91	long	5			-9.150000000000063	-32.870000000000005
41	2017-09-27	162.2	long	5			-13.55000000000004	-46.420000000000044
42	2017-09-28	161.48	long	5			-3.5999999999999943	-50.02000000000004
43	2017-09-29	159.1	long	5			-11.899999999999977	-61.920000000000016
44	2017-10-02	155.53	long	5			-17.849999999999966	-79.76999999999998
45	2017-10-03	156.55	long	5			5.100000000000051	-74.66999999999993
46	2017-10-04	158.05	long	5			7.5	-67.16999999999993
47	2017-10-05	161.14	long	5			15.449999999999875	-51.720000000000056
48	2017-10-06	155.88	long	5			-26.299999999999955	-78.02000000000001
49	2017-10-09	155.94	long	4	True	1.0	0.30000000000001137	-77.72
50	2017-10-10	159.15	long	3	True	2.0	12.840000000000032	-64.87999999999997
51	2017-10-11	160.92	long	2	True	3.0	5.309999999999945	-59.57000000000002
52	2017-10-12	158.32	long	1	True	4.0	-5.199999999999989	-64.77000000000001
53	2017-10-13	162.22	long	0	True	5.0	3.9000000000000057	-60.870000000000005
