	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2010-06-08	195.49	short	1	True	1.0		
1	2010-06-09	200.22	short	2	True	2.0	-4.72999999999999	-4.72999999999999
2	2010-06-10	203.25	short	3	True	3.0	-6.060000000000002	-10.789999999999992
3	2010-06-11	201.2	short	4	True	4.0	6.150000000000034	-4.639999999999958
4	2010-06-14	202.7	short	5	True	5.0	-6.0	-10.639999999999958
5	2010-06-15	206.1	short	5			-17.00000000000003	-27.639999999999986
6	2010-06-16	208.36	short	5			-11.300000000000097	-38.94000000000008
7	2010-06-17	209.04	short	5			-3.399999999999892	-42.339999999999975
8	2010-06-18	208.5	short	5			2.69999999999996	-39.640000000000015
9	2010-06-21	208.6	short	5			-0.4999999999999716	-40.139999999999986
10	2010-06-22	206.83	short	5			8.849999999999909	-31.290000000000077
11	2010-06-23	202.24	short	5			22.950000000000017	-8.34000000000006
12	2010-06-24	202.56	short	5			-1.599999999999966	-9.940000000000026
13	2010-06-25	207.32	short	5			-23.799999999999955	-33.73999999999998
14	2010-06-28	205.81	short	5			7.5499999999999545	-26.190000000000026
15	2010-06-29	200.1	short	5			28.55000000000004	2.3600000000000136
16	2010-06-30	199.04	short	5			5.300000000000011	7.660000000000025
17	2010-07-01	192.98	short	5			30.30000000000001	37.960000000000036
18	2010-07-02	190.83	short	5			10.749999999999886	48.70999999999992
19	2010-07-05		short	5			-0.0	48.70999999999992
20	2010-07-06	190.64	short	5			0.9500000000001307	49.66000000000005
21	2010-07-07	195.9	short	5			-26.300000000000097	23.359999999999957
22	2010-07-08	199.13	short	4	True	1.0	-16.14999999999995	7.210000000000008
23	2010-07-09	200.45	short	3	True	2.0	-5.279999999999973	1.9300000000000352
24	2010-07-12	197.32	short	2	True	3.0	9.389999999999986	11.320000000000022
25	2010-07-13	202.61	short	1	True	4.0	-10.580000000000041	0.7399999999999807
26	2010-07-14	201.99	short	0	True	5.0	0.6200000000000045	1.3599999999999852
27	2011-01-10	246.07	long	1	True	1.0		
28	2011-01-11	249.01	long	2	True	2.0	2.9399999999999977	4.299999999999983
29	2011-01-12	247.72	long	3	True	3.0	-2.579999999999984	1.7199999999999989
30	2011-01-13	246.15	long	4	True	4.0	-4.7099999999999795	-2.9899999999999807
31	2011-01-14	250.64	long	5	True	5.0	17.959999999999923	14.969999999999942
32	2011-01-17		long	5			0.0	14.969999999999942
33	2011-01-18	249.39	long	5			-6.25	8.719999999999942
34	2011-01-19	249.63	long	5			1.2000000000000455	9.919999999999987
35	2011-01-20	244.21	long	5			-27.099999999999937	-17.17999999999995
36	2011-01-21	247.85	long	5			18.199999999999932	1.0199999999999818
37	2011-01-24	243.79	long	5			-20.30000000000001	-19.28000000000003
38	2011-01-25	237.06	long	5			-33.64999999999995	-52.92999999999998
39	2011-01-26	245.66	long	5			42.99999999999997	-9.930000000000007
40	2011-01-27	241.32	long	5			-21.700000000000017	-31.630000000000024
41	2011-01-28	248.59	long	5			36.35000000000005	4.720000000000027
42	2011-01-31	250.01	long	5			7.0999999999999375	11.819999999999965
43	2011-02-01	251.94	long	5			9.650000000000034	21.47
44	2011-02-02	249.85	long	5			-10.450000000000017	11.019999999999982
45	2011-02-03	250.34	long	5			2.4500000000000455	13.470000000000027
46	2011-02-04	243.53	long	5			-34.05000000000001	-20.579999999999984
47	2011-02-07	245.05	long	5			7.600000000000051	-12.979999999999933
48	2011-02-08	249.42	long	4	True	1.0	21.84999999999988	8.869999999999948
49	2011-02-09	252.6	long	3	True	2.0	12.720000000000027	21.589999999999975
50	2011-02-10	246.98	long	2	True	3.0	-16.860000000000014	4.729999999999961
51	2011-02-11	246.52	long	1	True	4.0	-0.9199999999999591	3.8100000000000023
52	2011-02-14	251.74	long	0	True	5.0	5.219999999999999	9.030000000000001
