	Date	Price	Quantity	long_short	IS_ROLLING	Day	Pnl	cum_PnL
0	2005-10-03	189.83	5	short				
1	2005-10-04	187.68	5	short			10.750000000000028	10.750000000000028
2	2005-10-05	180.0	5	short			38.400000000000034	49.15000000000006
3	2005-10-06	176.5	5	short			17.5	66.65000000000006
4	2005-10-07	180.0	5	short			-17.5	49.15000000000006
5	2005-10-10	179.0	5	short			5.0	54.15000000000006
6	2005-10-11	183.0	5	short			-20.0	34.15000000000006
7	2005-10-12	183.0	5	short			-0.0	34.15000000000006
8	2005-10-13	178.31	5	short			23.44999999999999	57.60000000000005
9	2005-10-14	176.5	5	short			9.050000000000011	66.65000000000006
10	2005-10-17	181.75	5	short			-26.25	40.40000000000006
11	2005-10-18	175.05	5	short			33.49999999999994	73.9
12	2005-10-19	174.42	5	short			3.1500000000001194	77.05000000000013
13	2005-10-20	170.0	5	short			22.099999999999937	99.15000000000006
14	2005-10-21	175.25	5	short			-26.25	72.90000000000006
15	2005-10-24	172.5	5	short			13.75	86.65000000000006
16	2005-10-25	178.75	5	short			-31.25	55.40000000000006
17	2005-10-26	172.95	5	short			29.000000000000057	84.40000000000012
18	2005-10-27	174.0	5	short			-5.250000000000057	79.15000000000006
19	2005-10-28	177.3	5	short			-16.500000000000057	62.650000000000006
20	2005-10-31	171.36	5	short			29.69999999999999	92.35
21	2005-11-01	172.85	5	short			-7.449999999999903	84.90000000000009
22	2005-11-02	171.15	5	short			8.499999999999943	93.40000000000003
23	2005-11-03	176.5	5	short			-26.74999999999997	66.65000000000006
24	2005-11-04	174.5	5	short			10.0	76.65000000000006
25	2005-11-07	171.25	5	short			16.25	92.90000000000006
26	2005-11-08	174.09	5	short			-14.200000000000017	78.70000000000005
27	2005-11-09	172.5	5	short			7.950000000000017	86.65000000000006
28	2005-11-10	169.88	5	short			13.100000000000023	99.75000000000009
29	2005-11-11	172.5	5	short			-13.100000000000023	86.65000000000006
30	2005-11-14	172.8	5	short			-1.5000000000000568	85.15
31	2005-11-15	170.12	5	short			13.400000000000034	98.55000000000004
32	2005-11-16	171.92	5	short			-8.999999999999915	89.55000000000013
33	2005-11-17	169.38	5	short			12.69999999999996	102.25000000000009
34	2005-11-18	169.18	5	short			0.9999999999999432	103.25000000000003
35	2005-11-21	169.25	5	short			-0.3499999999999659	102.90000000000006
36	2005-11-22	175.57	5	short			-31.599999999999966	71.3000000000001
37	2005-11-23	174.55	5	short			5.099999999999909	76.4
38	2005-11-24		5	short			-0.0	76.4
39	2005-11-25		5	short			-0.0	76.4
40	2005-11-28	169.94	5	short			23.050000000000068	99.45000000000007
41	2005-11-29	167.81	5	short			10.649999999999977	110.10000000000005
42	2005-11-30	171.96	5	short			-20.75000000000003	89.35000000000002
43	2005-12-01	176.78	5	short			-24.099999999999966	65.25000000000006
44	2005-12-02	178.93	5	short			-10.750000000000028	54.50000000000003
45	2005-12-05	179.6	5	short			-3.3499999999999375	51.15000000000009
46	2005-12-06	180.4	5	short			-4.000000000000057	47.150000000000034
47	2005-12-07	179.86	5	short			2.69999999999996	49.849999999999994
48	2005-12-08	188.01	4	short	True	1.0	-40.749999999999886	9.100000000000108
49	2005-12-09	184.69	3	short	True	2.0	13.279999999999973	22.38000000000008
50	2005-12-12	186.98	2	short	True	3.0	-6.869999999999976	15.510000000000105
51	2005-12-13	187.54	1	short	True	4.0	-1.1200000000000045	14.3900000000001
52	2005-12-14	185.4	0	short	True	5.0	2.1399999999999864	16.530000000000086
53	2006-06-08	228.93	1	long	True	1.0		
54	2006-06-09	232.24	2	long	True	2.0	3.3100000000000023	19.84000000000009
55	2006-06-12	227.3	3	long	True	3.0	-9.879999999999995	9.960000000000093
56	2006-06-13	218.96	4	long	True	4.0	-25.02000000000001	-15.059999999999917
57	2006-06-14	218.0	5	long	True	5.0	-3.840000000000032	-18.89999999999995
58	2006-06-15	219.91	5	long			9.549999999999983	-9.349999999999966
59	2006-06-16	219.47	5	long			-2.1999999999999886	-11.549999999999955
60	2006-06-19	215.71	5	long			-18.799999999999955	-30.34999999999991
61	2006-06-20	216.83	5	long			5.600000000000023	-24.749999999999886
62	2006-06-21	221.23	5	long			21.999999999999886	-2.75
63	2006-06-22	226.27	5	long			25.200000000000102	22.450000000000102
64	2006-06-23	228.58	5	long			11.550000000000011	34.000000000000114
65	2006-06-26	232.66	5	long			20.39999999999992	54.400000000000034
66	2006-06-27	231.72	5	long			-4.699999999999989	49.700000000000045
67	2006-06-28	231.19	5	long			-2.6500000000000057	47.05000000000004
68	2006-06-29	235.15	5	long			19.80000000000004	66.85000000000008
69	2006-06-30	238.46	5	long			16.55000000000001	83.40000000000009
70	2006-07-03	238.46	5	long			0.0	83.40000000000009
71	2006-07-04		5	long			0.0	83.40000000000009
72	2006-07-05	241.42	5	long			14.799999999999898	98.19999999999999
73	2006-07-06	240.55	5	long			-4.349999999999881	93.85000000000011
74	2006-07-07	238.76	5	long			-8.950000000000102	84.9
75	2006-07-10	230.49	4	long	True	1.0	-41.34999999999991	43.5500000000001
76	2006-07-11	231.22	3	long	True	2.0	2.919999999999959	46.470000000000056
77	2006-07-12	236.75	2	long	True	3.0	16.590000000000003	63.06000000000006
78	2006-07-13	238.56	1	long	True	4.0	3.6200000000000045	66.68000000000006
79	2006-07-14	243.08	0	long	True	5.0	4.52000000000001	71.20000000000007
