,Due,Future,Month,Pair
0,2005-12-30,XBF06,F,XBU06
1,2006-01-31,XBG06,G,XBV06
2,2006-02-28,XBH06,H,XBX06
3,2006-03-31,XBJ06,J,XBZ06
4,2006-04-28,XBK06,K,XBF07
5,2006-05-31,XBM06,M,XBG07
6,2006-06-30,XBN06,N,XBH07
7,2006-07-31,XBQ06,Q,XBJ07
8,2006-08-31,XBU06,U,XBK07
9,2006-09-29,XBV06,V,XBM07
10,2006-10-31,XBX06,X,XBN07
11,2006-11-30,XBZ06,Z,XBQ07
12,2006-12-29,XBF07,F,XBU07
13,2007-01-31,XBG07,G,XBV07
14,2007-02-28,XBH07,H,XBX07
15,2007-03-30,XBJ07,J,XBZ07
16,2007-04-30,XBK07,K,XBF08
17,2007-05-31,XBM07,M,XBG08
18,2007-06-29,XBN07,N,XBH08
19,2007-07-31,XBQ07,Q,XBJ08
20,2007-08-31,XBU07,U,XBK08
21,2007-09-28,XBV07,V,XBM08
22,2007-10-31,XBX07,X,XBN08
23,2007-11-30,XBZ07,Z,XBQ08
24,2007-12-31,XBF08,F,XBU08
25,2008-01-31,XBG08,G,XBV08
26,2008-02-29,XBH08,H,XBX08
27,2008-03-31,XBJ08,J,XBZ08
28,2008-04-30,XBK08,K,XBF09
29,2008-05-30,XBM08,M,XBG09
30,2008-06-30,XBN08,N,XBH09
31,2008-07-31,XBQ08,Q,XBJ09
32,2008-08-29,XBU08,U,XBK09
33,2008-09-30,XBV08,V,XBM09
34,2008-10-31,XBX08,X,XBN09
35,2008-11-28,XBZ08,Z,XBQ09
36,2008-12-31,XBF09,F,XBU09
37,2009-01-30,XBG09,G,XBV09
38,2009-02-27,XBH09,H,XBX09
39,2009-03-31,XBJ09,J,XBZ09
40,2009-04-30,XBK09,K,XBF10
41,2009-05-29,XBM09,M,XBG10
42,2009-06-30,XBN09,N,XBH10
43,2009-07-31,XBQ09,Q,XBJ10
44,2009-08-31,XBU09,U,XBK10
45,2009-09-30,XBV09,V,XBM10
46,2009-10-30,XBX09,X,XBN10
47,2009-11-30,XBZ09,Z,XBQ10
48,2009-12-31,XBF10,F,XBU10
49,2010-01-29,XBG10,G,XBV10
50,2010-02-26,XBH10,H,XBX10
51,2010-03-31,XBJ10,J,XBZ10
52,2010-04-30,XBK10,K,XBF11
53,2010-05-28,XBM10,M,XBG11
54,2010-06-30,XBN10,N,XBH11
55,2010-07-30,XBQ10,Q,XBJ11
56,2010-08-31,XBU10,U,XBK11
57,2010-09-30,XBV10,V,XBM11
58,2010-10-29,XBX10,X,XBN11
59,2010-11-30,XBZ10,Z,XBQ11
60,2010-12-31,XBF11,F,XBU11
61,2011-01-31,XBG11,G,XBV11
62,2011-02-28,XBH11,H,XBX11
63,2011-03-31,XBJ11,J,XBZ11
64,2011-04-29,XBK11,K,XBF12
65,2011-05-31,XBM11,M,XBG12
66,2011-06-30,XBN11,N,XBH12
67,2011-07-29,XBQ11,Q,XBJ12
68,2011-08-31,XBU11,U,XBK12
69,2011-09-30,XBV11,V,XBM12
70,2011-10-31,XBX11,X,XBN12
71,2011-11-30,XBZ11,Z,XBQ12
72,2011-12-30,XBF12,F,XBU12
73,2012-01-31,XBG12,G,XBV12
74,2012-02-29,XBH12,H,XBX12
75,2012-03-30,XBJ12,J,XBZ12
76,2012-04-30,XBK12,K,XBF13
77,2012-05-31,XBM12,M,XBG13
78,2012-06-29,XBN12,N,XBH13
79,2012-07-31,XBQ12,Q,XBJ13
80,2012-08-31,XBU12,U,XBK13
81,2012-09-28,XBV12,V,XBM13
82,2012-10-31,XBX12,X,XBN13
83,2012-11-30,XBZ12,Z,XBQ13
84,2012-12-31,XBF13,F,XBU13
85,2013-01-31,XBG13,G,XBV13
86,2013-02-28,XBH13,H,XBX13
87,2013-03-28,XBJ13,J,XBZ13
88,2013-04-30,XBK13,K,XBF14
89,2013-05-31,XBM13,M,XBG14
90,2013-06-28,XBN13,N,XBH14
91,2013-07-31,XBQ13,Q,XBJ14
92,2013-08-30,XBU13,U,XBK14
93,2013-09-30,XBV13,V,XBM14
94,2013-10-31,XBX13,X,XBN14
95,2013-11-29,XBZ13,Z,XBQ14
96,2013-12-31,XBF14,F,XBU14
97,2014-01-31,XBG14,G,XBV14
98,2014-02-28,XBH14,H,XBX14
99,2014-03-31,XBJ14,J,XBZ14
100,2014-04-30,XBK14,K,XBF15
101,2014-05-30,XBM14,M,XBG15
102,2014-06-30,XBN14,N,XBH15
103,2014-07-31,XBQ14,Q,XBJ15
104,2014-08-29,XBU14,U,XBK15
105,2014-09-30,XBV14,V,XBM15
106,2014-10-31,XBX14,X,XBN15
107,2014-11-28,XBZ14,Z,XBQ15
108,2014-12-31,XBF15,F,XBU15
