	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2012-08-08	278.97	short	1	True	1.0		
1	2012-08-09	281.27	short	2	True	2.0	-2.2999999999999545	-2.2999999999999545
2	2012-08-10	280.19	short	3	True	3.0	2.159999999999968	-0.13999999999998636
3	2012-08-13	281.4	short	4	True	4.0	-3.6299999999999386	-3.769999999999925
4	2012-08-14	281.95	short	5	True	5.0	-2.2000000000000455	-5.96999999999997
5	2012-08-15	285.93	short	5			-19.90000000000009	-25.87000000000006
6	2012-08-16	288.41	short	5			-12.400000000000091	-38.27000000000015
7	2012-08-17	286.49	short	5			9.60000000000008	-28.670000000000073
8	2012-08-20	286.49	short	5			-0.0	-28.670000000000073
9	2012-08-21	289.36	short	5			-14.350000000000023	-43.020000000000095
10	2012-08-22	289.98	short	5			-3.1000000000000227	-46.12000000000012
11	2012-08-23	288.96	short	5			5.100000000000193	-41.019999999999925
12	2012-08-24	286.22	short	5			13.699999999999761	-27.320000000000164
13	2012-08-27	283.75	short	5			12.350000000000136	-14.970000000000027
14	2012-08-28	286.04	short	5			-11.450000000000102	-26.42000000000013
15	2012-08-29	284.79	short	5			6.25	-20.17000000000013
16	2012-08-30	285.44	short	5			-3.2499999999998863	-23.420000000000016
17	2012-08-31	290.21	short	5			-23.84999999999991	-47.269999999999925
18	2012-09-03		short	5			-0.0	-47.269999999999925
19	2012-09-04	287.93	short	5			11.399999999999864	-35.87000000000006
20	2012-09-05	286.94	short	5			4.9500000000000455	-30.920000000000016
21	2012-09-06	287.94	short	5			-5.0	-35.920000000000016
22	2012-09-07	289.69	short	5			-8.75	-44.670000000000016
23	2012-09-10	290.51	short	4	True	1.0	-4.099999999999966	-48.76999999999998
24	2012-09-11	291.8	short	3	True	2.0	-5.160000000000082	-53.930000000000064
25	2012-09-12	292.74	short	2	True	3.0	-2.819999999999993	-56.75000000000006
26	2012-09-13	293.57	short	1	True	4.0	-1.6599999999999682	-58.410000000000025
27	2012-09-14	295.93	short	0	True	5.0	-2.3600000000000136	-60.77000000000004
28	2013-04-08	290.44	long	1	True	1.0		
29	2013-04-09	293.87	long	2	True	2.0	3.430000000000007	-57.34000000000003
30	2013-04-10	287.5	long	3	True	3.0	-12.740000000000009	-70.08000000000004
31	2013-04-11	284.02	long	4	True	4.0	-10.440000000000055	-80.5200000000001
32	2013-04-12	281.01	long	5	True	5.0	-12.039999999999964	-92.56000000000006
33	2013-04-15	276.07	long	5			-24.69999999999999	-117.26000000000005
34	2013-04-16	277.41	long	5			6.700000000000159	-110.55999999999989
35	2013-04-17	272.05	long	5			-26.800000000000068	-137.35999999999996
36	2013-04-18	274.83	long	5			13.899999999999864	-123.4600000000001
37	2013-04-19	276.14	long	5			6.550000000000011	-116.91000000000008
38	2013-04-22	276.15	long	5			0.049999999999954525	-116.86000000000013
39	2013-04-23	271.67	long	5			-22.399999999999807	-139.25999999999993
40	2013-04-24	275.18	long	5			17.549999999999955	-121.70999999999998
41	2013-04-25	281.06	long	5			29.399999999999977	-92.31
42	2013-04-26	282.73	long	5			8.35000000000008	-83.95999999999992
43	2013-04-29	282.2	long	5			-2.650000000000148	-86.61000000000007
44	2013-04-30	280.2	long	5			-10.0	-96.61000000000007
45	2013-05-01	271.93	long	5			-41.34999999999991	-137.95999999999998
46	2013-05-02	278.06	long	5			30.649999999999977	-107.31
47	2013-05-03	282.54	long	5			22.40000000000009	-84.90999999999991
48	2013-05-06	286.57	long	5			20.149999999999864	-64.76000000000005
49	2013-05-07	283.34	long	5			-16.15000000000009	-80.91000000000014
50	2013-05-08	285.38	long	4	True	1.0	10.200000000000102	-70.71000000000004
51	2013-05-09	288.51	long	3	True	2.0	12.519999999999982	-58.190000000000055
52	2013-05-10	286.03	long	2	True	3.0	-7.440000000000055	-65.63000000000011
53	2013-05-13	282.1	long	1	True	4.0	-7.8599999999999	-73.49000000000001
54	2013-05-14	283.76	long	0	True	5.0	1.6599999999999682	-71.83000000000004
